坐标,强度值
7.56098,438319000.0
7.57017,-294783000.0
7.57937,218378000.0
7.58856,-119550000.0
7.59775,-246886000.0
7.60694,-79645700.0
7.61614,117304000.0
7.62533,10650600.0
7.63452,-290644000.0
7.64371,-465673000.0
7.65291,-144078000.0
7.6621,-14684200.0
7.67129,-224549000.0
7.68048,96247800.0
7.68968,-17780700.0
7.69887,321198000.0
7.70806,6472700.0
7.71725,147218000.0
7.72645,-47540200.0
7.73564,235699000.0
7.74483,134494000.0
7.75402,9966590.0
7.76322,131838000.0
7.77241,17540100.0
7.7816,147242000.0
7.79079,235846000.0
7.79999,46015500.0
7.80918,-91974700.0
7.81837,-99973100.0
7.82756,-52165600.0
7.83676,115582000.0
7.84595,-16612400.0
7.85514,-251275000.0
7.86433,-64584700.0
7.87352,21136400.0
7.88272,143586000.0
7.89191,156607000.0
7.9011,-108363000.0
7.91029,-110043000.0
7.91949,-32584700.0
7.92868,-102707000.0
7.93787,-60409900.0
7.94706,-302507000.0
7.95626,-42510300.0
7.96545,-100887000.0
7.97464,-101387000.0
7.98383,104739000.0
7.99303,-41600000.0
8.00222,-674932000.0
8.01141,-114578000.0
8.0206,-154387000.0
8.0298,97297400.0
8.03899,-349507000.0
8.04818,-166013000.0
8.05737,-36084700.0
8.06657,108212000.0
8.07576,-531456.0
8.08495,95737900.0
8.09414,143557000.0
8.10334,385751000.0
8.11253,120350000.0
8.12172,-304430000.0
8.13091,-36227100.0
8.14011,-77329400.0
8.1493,-161543000.0
8.15849,25413600.0
8.16768,183409000.0
8.17687,165704000.0
8.18607,-58056700.0
8.19526,-111306000.0
8.20445,-391903000.0
8.21364,-29006800.0
8.22284,-276665000.0
8.23203,-154293000.0
8.24122,37714900.0
8.25041,96547800.0
8.25961,287402000.0
8.2688,196737000.0
8.27799,104201000.0
8.28718,-15516700.0
8.29638,110399000.0
8.30557,-62840800.0
8.31476,219453000.0
8.32395,161792.0
8.33315,-288854000.0
8.34234,82392100.0
8.35153,-297457000.0
8.36072,152962000.0
8.36992,-21596200.0
8.37911,246279000.0
8.3883,104622000.0
8.39749,357753000.0
8.40669,166795000.0
8.41588,82920400.0
8.42507,-4750340.0
8.43426,-21699600.0
8.44346,338183000.0
8.45265,123872000.0
8.46184,155555000.0
8.47103,15448100.0
8.48022,-149057000.0
8.48942,-103229000.0
8.49861,-205079000.0
8.5078,-201053000.0
8.51699,-305229000.0
8.52619,215083000.0
8.53538,-95467500.0
8.54457,72230900.0
8.55376,370815000.0
8.56296,324133000.0
8.57215,426510000.0
8.58134,120470000.0
8.59053,-168329000.0
8.59973,-261960000.0
8.60892,15295500.0
8.61811,-60889100.0
8.6273,27233300.0
8.6365,595061000.0
8.64569,151827000.0
8.65488,-114606000.0
8.66407,104997000.0
8.67327,-47671300.0
8.68246,207281000.0
8.69165,199756000.0
8.70084,127412000.0
8.71004,137788000.0
8.71923,43572200.0
8.72842,-316166000.0
8.73761,268243000.0
8.74681,161796000.0
8.756,-173553000.0
8.76519,73977900.0
8.77438,36518900.0
8.78357,-244318000.0
8.79277,-327977000.0
8.80196,-89410600.0
8.81115,-18883600.0
8.82034,-112462000.0
8.82954,-416384000.0
8.83873,-277019000.0
8.84792,153017000.0
8.85711,-160437000.0
8.86631,-230219000.0
8.8755,314009000.0
8.88469,312365000.0
8.89388,223034000.0
8.90308,-55645200.0
8.91227,-67733500.0
8.92146,-14309400.0
8.93065,-1767420.0
8.93985,-193475000.0
8.94904,86014000.0
8.95823,-322010000.0
8.96742,-102753000.0
8.97662,-228226000.0
8.98581,-222643000.0
8.995,-558484000.0
9.00419,96112600.0
9.01339,-320593000.0
9.02258,-44531700.0
9.03177,136894000.0
9.04096,73308200.0
9.05016,417997000.0
9.05935,271858000.0
9.06854,-10834900.0
9.07773,312791000.0
9.08692,131504000.0
9.09612,-133250000.0
9.10531,-533939000.0
9.1145,-221452000.0
9.12369,-52364300.0
9.13289,113077000.0
9.14208,30500900.0
9.15127,415345000.0
9.16046,6748160.0
9.16966,86689800.0
9.17885,129522000.0
9.18804,95771600.0
9.19723,-33901600.0
9.20643,-43807700.0
9.21562,166492000.0
9.22481,391722000.0
9.234,258622000.0
9.2432,-325871000.0
9.25239,353578000.0
9.26158,264656000.0
9.27077,-226138000.0
9.27997,-107470000.0
9.28916,-58820600.0
9.29835,284967000.0
9.30754,167538000.0
9.31674,516508000.0
9.32593,134500000.0
9.33512,-166927000.0
9.34431,-24255500.0
9.35351,-338121000.0
9.3627,-387312000.0
9.37189,-425954000.0
9.38108,-308453000.0
9.39027,127771000.0
9.39947,-79470600.0
9.40866,-33217500.0
9.41785,194740000.0
9.42704,65191900.0
9.43624,-66299900.0
9.44543,-102696000.0
9.45462,20857900.0
9.46381,26275800.0
9.47301,372277000.0
9.4822,-81217500.0
9.49139,406109000.0
9.50058,-15156200.0
9.50978,130745000.0
9.51897,-69701600.0
9.52816,321031000.0
9.53735,134846000.0
9.54655,-25647100.0
9.55574,239485000.0
9.56493,248906000.0
9.57412,-13828100.0
9.58332,-146648000.0
9.59251,83757100.0
9.6017,-579141000.0
9.61089,-375748000.0
9.62009,248774000.0
9.62928,143746000.0
9.63847,433339000.0
9.64766,156028000.0
9.65686,140004000.0
9.66605,144436000.0
9.67524,127972000.0
9.68443,-218434000.0
9.69362,-219308000.0
9.70282,103667000.0
9.71201,233731000.0
9.7212,145897000.0
9.73039,257389000.0
9.73959,535254000.0
9.74878,592442000.0
9.75797,221665000.0
9.76716,52677600.0
9.77636,84046800.0
9.78555,-327110000.0
9.79474,158096000.0
9.80393,-5588990.0
9.81313,-400304000.0
9.82232,111626000.0
9.83151,-196249000.0
9.8407,2376700.0
9.8499,15298600.0
9.85909,157991000.0
9.86828,40806400.0
9.87747,109777000.0
9.88667,364664000.0
9.89586,179077000.0
9.90505,-213914000.0
9.91424,413343000.0
9.92344,-84310000.0
9.93263,-119930000.0
9.94182,-93512700.0
9.95101,-69686300.0
9.96021,190414000.0
9.9694,112628000.0
9.97859,254237000.0
9.98778,252203000.0
9.99697,-275071000.0
10.0062,119326000.0
10.0154,27644900.0
10.0246,-3704830.0
10.0337,-245535000.0
10.0429,-280843000.0
10.0521,-20608000.0
10.0613,-217094000.0
10.0705,-362946000.0
10.0797,-199099000.0
10.0889,-2274300.0
10.0981,-166134000.0
10.1073,-4422660.0
10.1165,-438298000.0
10.1257,-107017000.0
10.1349,-165968000.0
10.1441,-318336000.0
10.1532,-553747000.0
10.1624,170858000.0
10.1716,-179097000.0
10.1808,22754300.0
10.19,-145541000.0
10.1992,-6014980.0
10.2084,-157761000.0
10.2176,-50017300.0
10.2268,-71717900.0
10.236,94627800.0
10.2452,234630000.0
10.2544,195053000.0
10.2636,-180907000.0
10.2727,-21212200.0
10.2819,-191487000.0
10.2911,-312846000.0
10.3003,-93790200.0
10.3095,-268223000.0
10.3187,-230269000.0
10.3279,-306415000.0
10.3371,-171201000.0
10.3463,-43234300.0
10.3555,-229063000.0
10.3647,-256240000.0
10.3739,-146899000.0
10.3831,-163887000.0
10.3922,61845500.0
10.4014,-21214200.0
10.4106,-320366000.0
10.4198,59906000.0
10.429,-3681280.0
10.4382,8586240.0
10.4474,-102406000.0
10.4566,185277000.0
10.4658,315176000.0
10.475,-157819000.0
10.4842,231504000.0
10.4934,-413465000.0
10.5026,-105659000.0
10.5118,-369246000.0
10.5209,-162263000.0
10.5301,-93175800.0
10.5393,-133556000.0
10.5485,-88109100.0
10.5577,-15497200.0
10.5669,-158327000.0
10.5761,-177236000.0
10.5853,-423669000.0
10.5945,-319145000.0
10.6037,-299291000.0
10.6129,-202275000.0
10.6221,-194134000.0
10.6313,-316780000.0
10.6404,-136279000.0
10.6496,-215148000.0
10.6588,312752000.0
10.668,209507000.0
10.6772,-87115800.0
10.6864,622278000.0
10.6956,315483000.0
10.7048,455734000.0
10.714,275782000.0
10.7232,-398682000.0
10.7324,104691000.0
10.7416,471982000.0
10.7508,720135000.0
10.7599,10672100.0
10.7691,-249101000.0
10.7783,53826600.0
10.7875,-140280000.0
10.7967,-376084000.0
10.8059,-40736800.0
10.8151,-21957600.0
10.8243,232308000.0
10.8335,152905000.0
10.8427,22931500.0
10.8519,-139505000.0
10.8611,461397000.0
10.8703,273049000.0
10.8794,44767200.0
10.8886,-717601000.0
10.8978,-144812000.0
10.907,-224681000.0
10.9162,42837000.0
10.9254,261332000.0
10.9346,218581000.0
10.9438,-110808000.0
10.953,-98961400.0
10.9622,-203619000.0
10.9714,130417000.0
10.9806,99508200.0
10.9898,-314205000.0
10.9989,108922000.0
11.0081,-146683000.0
11.0173,-196494000.0
11.0265,-77766700.0
11.0357,-502290000.0
11.0449,24730600.0
11.0541,-95305700.0
11.0633,-23129100.0
11.0725,-19580900.0
11.0817,-321744000.0
11.0909,-174567000.0
11.1001,-93440000.0
11.1093,106652000.0
11.1185,65761300.0
11.1276,-90964000.0
11.1368,238888000.0
11.146,478691000.0
11.1552,442806000.0
